hour_jst,count,fake_rate,ci95_low,ci95_high,status
0,417,0.486810551558753,0.44844124700239807,0.5240407673860911,ok
1,312,0.5096153846153846,0.45985576923076926,0.5544871794871795,ok
2,261,0.4521072796934866,0.4061302681992337,0.5115900383141762,ok
3,198,0.5404040404040404,0.4720959595959596,0.6188131313131312,ok
4,206,0.5533980582524272,0.46116504854368934,0.6067961165048543,ok
5,202,0.4752475247524752,0.43304455445544554,0.5273514851485147,ok
6,201,0.5174129353233831,0.4577114427860697,0.5697761194029849,ok
7,228,0.5394736842105263,0.4956140350877193,0.5987938596491227,ok
8,232,0.5689655172413793,0.5235991379310345,0.646551724137931,ok
9,267,0.4868913857677903,0.42125468164794005,0.5300561797752807,ok
10,298,0.4697986577181208,0.42441275167785236,0.5353187919463086,ok
11,274,0.5145985401459854,0.46523722627737224,0.5603102189781021,ok
12,286,0.5104895104895105,0.4666958041958042,0.5874125874125874,ok
13,231,0.5367965367965368,0.47824675324675325,0.5844155844155844,ok
14,237,0.5358649789029536,0.4830168776371308,0.5780590717299579,ok
15,239,0.497907949790795,0.4329497907949791,0.5523012552301255,ok
16,262,0.5114503816793893,0.4618320610687023,0.5648854961832062,ok
17,301,0.48172757475083056,0.43853820598006643,0.53156146179402,ok
18,282,0.4929078014184397,0.4201241134751773,0.5709219858156028,ok
19,244,0.5409836065573771,0.4855532786885246,0.6024590163934426,ok
20,245,0.5428571428571428,0.5020408163265306,0.6081632653061224,ok
21,307,0.501628664495114,0.44299674267100975,0.5700325732899023,ok
22,385,0.4805194805194805,0.43896103896103894,0.5246753246753246,ok
23,490,0.5122448979591837,0.4673469387755102,0.5622959183673468,ok
