timezone,weekday,hour,return_std
UTC,5,16,0.0013285428234986064
UTC,5,17,0.0018776247908994987
UTC,5,18,0.0015427659789253613
UTC,5,19,0.0014238192675330957
UTC,5,20,0.0012912424414256625
UTC,5,21,0.0015255347919161078
UTC,5,22,0.0011726914463306122
UTC,5,23,0.001348584118676076
UTC,6,0,0.0019277416707678752
UTC,6,1,0.0020695616295618533
UTC,6,2,0.0017221916383257153
UTC,6,3,0.0012918080654802744
UTC,6,4,0.0013097659513558288
UTC,6,5,0.0013006677582715332
UTC,6,6,0.0011550030198625208
UTC,6,7,0.0011162822686695843
UTC,6,8,0.0013851097958781323
UTC,6,9,0.00179024750840231
UTC,6,10,0.0013764209217020683
UTC,6,11,0.0014907326486831485
UTC,6,12,0.0015614003394114956
UTC,6,13,0.0019109236858931532
UTC,6,14,0.0018157221666606413
UTC,6,15,0.0019442707868601568
UTC,6,16,0.0018337466939819182
UTC,6,17,0.001758365254600984
UTC,6,18,0.0017221991559246252
UTC,6,19,0.0020887946637647833
UTC,6,20,0.0018836018532544868
UTC,6,21,0.0019853721416744213
UTC,6,22,0.0037916377970088778
UTC,6,23,0.002774069880831738
JST,0,0,0.0019442707868601568
JST,0,1,0.0018337466939819182
JST,0,2,0.001758365254600984
JST,0,3,0.0017221991559246252
JST,0,4,0.0020887946637647833
JST,0,5,0.0018836018532544868
JST,0,6,0.0019853721416744213
JST,0,7,0.0037916377970088778
JST,0,8,0.002774069880831738
JST,0,9,0.0032835340617371257
JST,0,10,0.0032845475480060096
JST,0,11,0.002912039634972281
JST,0,12,0.0026003471986396505
JST,0,13,0.0026869629153158207
JST,0,14,0.0021319442145672314
JST,0,15,0.0022457896452577715
JST,0,16,0.0017477645370786211
JST,0,17,0.0019536764537504384
JST,0,18,0.002026888640178195
JST,0,19,0.0018613811282654899
JST,0,20,0.0030425236403785077
JST,0,21,0.0026411271237163376
JST,0,22,0.0027094328125443767
JST,0,23,0.0032850931188463583
JST,1,0,0.004308172175527305
JST,1,1,0.0029175904144001117
JST,1,2,0.0026931267602686654
JST,1,3,0.0020035031835929223
JST,1,4,0.0023109508938315383
JST,1,5,0.002000694288150415
