pattern,count,mean_forward_return,median_forward_return,win_rate,ci95_low,ci95_high,status,interval
outside,3441,-2.612252892279674e-05,4.562329981814809e-06,0.5033420517291485,-0.00010372801209050092,4.5293543917508074e-05,ok,15m
inside,5776,-5.743924081718681e-05,-4.5226597548929524e-05,0.4868421052631579,-0.00011538770878645523,8.26792610231246e-07,ok,15m
long_upper_wick,3504,3.458955328717026e-05,2.968172105560852e-05,0.5085616438356164,-2.8301658660259616e-05,0.00010494774206199347,ok,15m
long_lower_wick,3504,-1.62613119948309e-05,-6.108420356075141e-05,0.4834474885844749,-0.00011016463605069772,6.222625173211219e-05,ok,15m
outside,5689,-1.169773914761309e-06,6.966364303280181e-06,0.5002636667252592,-0.000198398540062524,0.0001537341133384638,ok,1h
inside,10630,-4.859643076524781e-05,3.7613741348669973e-05,0.5051740357478833,-0.00018953851569171643,9.003988005991661e-05,ok,1h
long_upper_wick,5808,0.00018908258840348086,0.00017975498146293663,0.5227272727272727,2.265670593958855e-05,0.0003664022491078491,ok,1h
long_lower_wick,5808,-0.00027255315758258086,-0.0001720392791988627,0.47796143250688705,-0.00042903606736669403,-0.0001167498094384509,ok,1h
outside,269,0.0021317462773260756,0.0019557531417452316,0.5390334572490706,0.0002530982379671652,0.003744219127727495,ok,1d
inside,511,0.0017326284325999072,0.00046418131806141556,0.5205479452054794,-0.0014616796881085654,0.004666533669188304,ok,1d
long_upper_wick,242,-0.0013447357035928024,-0.0004723400333916622,0.4834710743801653,-0.006570062862730759,0.0029568319819068133,ok,1d
long_lower_wick,242,-0.0011190623232857188,-0.000871241184575836,0.4793388429752066,-0.0025964332696980902,0.002880423044672452,ok,1d
