interval,event,count,continuation_rate,continuation_ci95_low,continuation_ci95_high,mean_next_return,median_next_return,mean_ci95_low,mean_ci95_high,status
15m,bottom_3pct,1052,0.42015209125475284,0.393037072243346,0.451069391634981,0.0001445688262870873,0.0006055997620082465,-8.220345452786275e-05,0.00035216751671117885,ok
15m,top_3pct,1052,0.41634980988593157,0.3849334600760456,0.4434648288973384,-0.0002190397513324391,-0.0005738267315642531,-0.00043075454253696326,-1.8161036863492013e-05,ok
1h,bottom_3pct,1743,0.4239816408491107,0.4027538726333907,0.4458405048766494,0.0006809376179861855,0.0014692191459619863,0.00011042707471984628,0.001257592178642052,ok
1h,top_3pct,1743,0.48479632816982215,0.46184738955823296,0.5074727481353988,0.0004850929811286108,-0.0002461595914358128,6.122012414884478e-05,0.0009195211469528798,ok
1d,bottom_3pct,73,0.4383561643835616,0.3424657534246575,0.5277397260273969,0.009066413100265767,0.0034227240371489387,-0.003766518507086915,0.01607690682076417,ok
1d,top_3pct,73,0.4246575342465753,0.3013698630136986,0.5414383561643833,-0.005660500872506632,-0.00856707158102843,-0.013235739228905335,0.0034513056122853643,ok
