direction,streak_length,count,continuation_rate,ci95_low,ci95_high,status
up,1,9159,0.4888088219237908,0.47880500054591113,0.4993858499836226,ok
up,2,4477,0.4735313826222917,0.4588842975206611,0.48694438239892784,ok
up,3,2119,0.4695611137328929,0.44690891930155735,0.48821378008494576,ok
up,4,995,0.4623115577889447,0.4321608040201005,0.5015075376884423,ok
up,5,460,0.4152173913043478,0.36625,0.4543478260869565,ok
up,6,191,0.418848167539267,0.3400523560209424,0.47643979057591623,ok
down,1,9158,0.4896265560165975,0.48001747106355097,0.4989653854553396,ok
down,2,4484,0.465878679750223,0.4535905441570027,0.48093777876895627,ok
down,3,2089,0.46481570129248445,0.4456677836285304,0.4873384394447104,ok
down,4,971,0.45417095777548916,0.4243048403707518,0.4850669412976313,ok
down,5,441,0.41043083900226757,0.37188208616780044,0.4569727891156462,ok
down,6,181,0.5138121546961326,0.46408839779005523,0.5580110497237569,ok
