interval,count,skew,excess_kurtosis,jarque_bera_p
15m,35039,-0.14452570340258375,16.342411295899396,0.0
1h,58079,-1.016072805842125,57.503729999695494,0.0
1d,2419,-1.620215096047901,28.63189632949375,0.0
