quote_volume,price_mid
56295840949.3259,58997.3165
92884116757.9852,60690.015499999994
191441189505.1663,62382.7145
318843317984.0471,64075.413499999995
205880167923.208,65768.1125
259847322517.2011,67460.812
203028795055.6558,69153.5115
218404784047.3679,70846.2105
111169569186.393,72538.90950000001
128017128411.7457,74231.6085
133498561392.3005,75924.30799999999
177128437443.8677,77617.0075
80033894082.8755,79309.7065
89565802711.9365,81002.4055
36065541808.1829,82695.1045
53599354520.7995,84387.80350000001
91605165399.2645,86080.503
197532313575.493,87773.2025
198778206232.3715,89465.9015
180121947852.8687,91158.6005
131109321092.6605,92851.2995
64043947035.5179,94543.9985
53209483079.998604,96236.698
15226164366.7039,97929.39749999999
17650158286.1146,99622.0965
48548256491.2414,101314.79550000001
48564239497.514,103007.4945
37849427738.5585,104700.1935
52454030893.927704,106392.8925
113294168701.6475,108085.592
158838402422.5231,109778.29149999999
232887873651.7953,111470.9905
193478039109.5544,113163.68950000001
169347505240.6614,114856.3885
85671743319.5185,116549.08799999999
27716325317.0556,118241.7875
25913931920.1276,119934.4865
51833989848.3935,121627.18549999999
47917953363.3094,123319.8845
21333084470.5665,125012.58350000001
