take_profit,stop_loss,upper_first,lower_first,ambiguous_same_bar,timeout,resolved_count,upper_probability_given_resolution,upper_ci95_low,upper_ci95_high,status
0.005,0.005,4165,4396,39,136,8561,0.48650858544562553,0.4652931900478916,0.5044591753299849,ok
0.005,0.01,5488,2900,9,339,8388,0.6542680019074869,0.6299296614210778,0.6775154983309489,ok
0.005,0.02,6386,1543,0,807,7929,0.8053979064194728,0.7840774372556438,0.8265922562744356,ok
0.01,0.005,2578,5753,15,390,8331,0.309446645060617,0.28213599807946227,0.3327421678069859,ok
0.01,0.01,3753,4078,2,903,7831,0.4792491380411186,0.4470501851615375,0.5101168433150299,ok
0.01,0.02,4603,2247,0,1886,6850,0.671970802919708,0.6377737226277372,0.7015583941605839,ok
0.02,0.005,1196,6575,2,963,7771,0.15390554626174238,0.1333579976836958,0.1760519881611118,ok
0.02,0.01,1836,4839,0,2061,6675,0.2750561797752809,0.24160299625468165,0.30849438202247187,ok
0.02,0.02,2253,2758,0,3725,5011,0.4496108561165436,0.40575234484134903,0.5047844741568548,ok
