month,train_start,model_fit_end,train_rows,gate_label_end,test_rows,converged,gmm_converged,hmm_train_min_occupancy,gmm_train_min_occupancy,hmm_mean_max_probability,gmm_mean_max_probability,hmm_seed_ari,gmm_seed_ari,trend_allowed_states,reversion_allowed_states,gmm_trend_allowed_states,gmm_reversion_allowed_states,hmm_retraining_ari,gmm_retraining_ari,retraining_stability_status
2023-04-01T00:00:00+00:00,2021-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,17520,2023-03-31T23:00:00+00:00,720,True,True,0.12203196347031964,0.1567351598173516,0.974864617017482,0.9568608705954751,0.804225676520051,0.9923825679891548,bear_stress|volatile_transition,bear_stress|bull_trend,bear_stress|bull_trend|volatile_transition,volatile_transition,0.72830529330596,0.37407030037757183,ok
2023-05-01T00:00:00+00:00,2021-05-01T00:00:00+00:00,2023-04-30T23:00:00+00:00,17520,2023-04-30T23:00:00+00:00,744,True,True,0.11489726027397261,0.1569634703196347,0.9728637190055952,0.9020227594946806,0.8005042341424538,0.9968322538060501,bear_stress|bull_trend,bear_stress|volatile_transition,bull_trend|volatile_transition,bear_stress,0.9418932374447849,0.32375700307365407,ok
2023-06-01T00:00:00+00:00,2021-06-01T00:00:00+00:00,2023-05-31T23:00:00+00:00,17520,2023-05-31T23:00:00+00:00,720,True,True,0.15930365296803653,0.17985159817351598,0.9623632740069038,0.9368884592117547,0.5019583511207115,0.9974168487090077,volatile_transition,bear_stress,bull_trend|quiet_range,bear_stress,0.8258173324249631,0.2760316611476236,ok
2023-07-01T00:00:00+00:00,2021-07-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,17520,2023-06-30T23:00:00+00:00,744,True,True,0.18664383561643835,0.15707762557077626,0.9889618605729046,0.9094342001504837,0.3877617967522132,0.9998967543997616,bear_stress|bull_trend,bull_trend|volatile_transition,bull_trend|quiet_range,bear_stress,0.6007399138544258,0.9369831198431431,ok
2023-08-01T00:00:00+00:00,2021-08-01T00:00:00+00:00,2023-07-31T23:00:00+00:00,17520,2023-07-31T23:00:00+00:00,744,True,True,0.19200913242009132,0.17505707762557077,0.9834888224781422,0.9212748668796972,0.8698566973881572,1.0,volatile_transition,bear_stress|momentum_proxy,bull_trend|quiet_range,bear_stress|quiet_range,0.6587670893245974,0.7961301768217264,ok
2023-09-01T00:00:00+00:00,2021-09-01T00:00:00+00:00,2023-08-31T23:00:00+00:00,17520,2023-08-31T23:00:00+00:00,720,True,True,0.20228310502283106,0.14349315068493151,0.9808376346345546,0.9127796906319846,0.7786091449312444,0.7518934701978346,bear_stress,quiet_range|volatile_transition,bull_trend,bear_stress|volatile_transition,0.9188378122710819,0.5344238007332658,ok
2023-10-01T00:00:00+00:00,2021-10-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,17520,2023-09-30T23:00:00+00:00,744,True,True,0.2018835616438356,0.1565068493150685,0.9784474621778048,0.9659531774268767,0.7022567131035812,0.998187066499254,volatile_transition,bear_stress|momentum_proxy|quiet_range,bear_stress|volatile_transition,bull_trend|volatile_transition,0.8906210376839734,0.6781595721853145,ok
2023-11-01T00:00:00+00:00,2021-11-01T00:00:00+00:00,2023-10-31T23:00:00+00:00,17520,2023-10-31T23:00:00+00:00,720,True,True,0.21124429223744293,0.16015981735159818,0.9746945803772712,0.9174949157718474,0.44686908227950467,0.9982390739890303,bear_stress|bull_trend,bull_trend|quiet_range|volatile_transition,bear_stress|volatile_transition,quiet_range|volatile_transition,0.7248723315492553,0.9759148203476158,ok
2023-12-01T00:00:00+00:00,2021-12-01T00:00:00+00:00,2023-11-30T23:00:00+00:00,17520,2023-11-30T23:00:00+00:00,744,True,True,0.21015981735159817,0.1702054794520548,0.955904220250605,0.9362414731682465,0.42518549956548635,1.0,bear_stress,bull_trend,bear_stress|volatile_transition,quiet_range|volatile_transition,0.5678798412752819,0.9097059586870117,ok
2024-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,17520,2023-12-31T23:00:00+00:00,744,True,True,0.10998858447488584,0.16792237442922375,0.9731888399235931,0.9325242070490528,0.447384030376056,0.9967628823975359,bear_stress|bull_trend,bull_trend|quiet_range,bear_stress|volatile_transition,quiet_range,0.4230508132026147,0.9494779047898587,ok
