metric,efficiency_96,hurst_192,efficiency_100,hurst_100
efficiency_96,1.0,0.2395209003579183,-0.023794612949940046,-0.014124355092063147
hurst_192,0.2395209003579183,1.0,0.028252860098884662,-0.033113960178181356
efficiency_100,-0.023794612949940046,0.028252860098884662,1.0,0.217482221496038
hurst_100,-0.014124355092063147,-0.033113960178181356,0.217482221496038,1.0
